Semana;Categoría;Ranking;Título;Autor;Semanas en ranking;Género
13 de febrero 2022;Combined Print & E-Book Nonfiction;1;RED-HANDED;Peter Schweizer;1;Política
13 de febrero 2022;Combined Print & E-Book Nonfiction;2;HOW TO BE PERFECT;Michael Schur;1;Autoayuda
13 de febrero 2022;Combined Print & E-Book Nonfiction;3;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;75;Autoayuda
13 de febrero 2022;Combined Print & E-Book Nonfiction;4;THE 1619 PROJECT;Nikole Hannah-Jones;11;Historia
13 de febrero 2022;Combined Print & E-Book Nonfiction;5;ENOUGH ALREADY;Valerie Bertinelli;2;Autobiografía
13 de febrero 2022;Combined Print & E-Book Nonfiction;6;SOUTH TO AMERICA;Imani Perry;1;Historia
13 de febrero 2022;Combined Print & E-Book Nonfiction;7;THE BETRAYAL OF ANNE FRANK;Rosemary Sullivan;2;Historia
13 de febrero 2022;Combined Print & E-Book Nonfiction;8;TASTE;Stanley Tucci;16;Autobiografía
13 de febrero 2022;Combined Print & E-Book Nonfiction;9;CRYING IN H MART;Michelle Zauner;18;Autobiografía
13 de febrero 2022;Combined Print & E-Book Nonfiction;10;WILL;Will Smith;12;Autobiografía
13 de febrero 2022;Combined Print & E-Book Nonfiction;11;BRAIDING SWEETGRASS;Robin Wall Kimmerer;27;Autoayuda
13 de febrero 2022;Combined Print & E-Book Nonfiction;12;UNTHINKABLE;Jamie Raskin;4;Autobiografía
13 de febrero 2022;Combined Print & E-Book Nonfiction;13;THE STORYTELLER;Dave Grohl;17;Autobiografía
13 de febrero 2022;Combined Print & E-Book Nonfiction;14;ALL ABOUT LOVE;Bell Hooks;7;Autoayuda
13 de febrero 2022;Combined Print & E-Book Nonfiction;15;GREENLIGHTS;Matthew McConaughey;54;Autobiografía
20 de febrero 2022;Combined Print & E-Book Fiction;1;IT ENDS WITH US;Colleen Hoover;34;Romance
20 de febrero 2022;Combined Print & E-Book Fiction;2;VERITY;Colleen Hoover;9;Thriller
20 de febrero 2022;Combined Print & E-Book Fiction;3;THE SEVEN HUSBANDS OF EVELYN HUGO;Taylor Jenkins Reid;32;Romance
20 de febrero 2022;Combined Print & E-Book Fiction;4;UGLY LOVE;Colleen Hoover;6;Romance
20 de febrero 2022;Combined Print & E-Book Fiction;5;THE MAID;Nita Prose;5;Thriller
20 de febrero 2022;Combined Print & E-Book Fiction;6;THE LINCOLN HIGHWAY;Amor Towles;18;Coming of age
20 de febrero 2022;Combined Print & E-Book Fiction;7;THE MIDNIGHT LIBRARY;Matt Haig;53;Ciencia Ficción
20 de febrero 2022;Combined Print & E-Book Fiction;8;BLACK CAKE;Charmaine Wilkerson;1;Coming of age
20 de febrero 2022;Combined Print & E-Book Fiction;9;THE LOVE HYPOTHESIS;Ali Hazelwood;12;Romance
20 de febrero 2022;Combined Print & E-Book Fiction;10;THE LAST THING HE TOLD ME;Laura Dave;33;Thriller
20 de febrero 2022;Combined Print & E-Book Fiction;11;THE CHRISTIE AFFAIR;Nina de Gramont;1;Misterio
20 de febrero 2022;Combined Print & E-Book Fiction;12;THE JUDGE'S LIST;John Grisham;16;Thriller
20 de febrero 2022;Combined Print & E-Book Fiction;13;PEOPLE WE MEET ON VACATION;Emily Henry;21;Romance
20 de febrero 2022;Combined Print & E-Book Fiction;14;WHERE THE CRAWDADS SING;Delia Owens;150;Thriller
20 de febrero 2022;Combined Print & E-Book Fiction;15;ONE STEP TOO FAR;Lisa Gardner;2;Thriller
20 de febrero 2022;Combined Print & E-Book Nonfiction;1;RED-HANDED;Peter Schweizer;2;Política
20 de febrero 2022;Combined Print & E-Book Nonfiction;2;THE 1619 PROJECT;Nikole Hannah-Jones;12;Historia
20 de febrero 2022;Combined Print & E-Book Nonfiction;3;THE BODY KEEPS THE SCORE;Bessel Van Der Kolk;76;Autoayuda
